epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,102.999,0.35331,1.59254,1.02882,0.67982,0.30826,0.79233,0.70565,0.52993,2.68864,1.26113,0.00245236,0.000817452,0.00245236,0.000817452,0.00245236,0.000817452,0.00245236,0.000817452
41,105.291,0.48064,1.59414,1.10486,1,0.41873,0.86667,0.79319,0.49183,2.63663,1.23632,0.0024543,0.0008181,0.0024543,0.0008181,0.0024543,0.0008181,0.0024543,0.0008181
42,107.562,0.39817,1.63432,1.06754,0.93088,0.57143,0.86667,0.78118,0.52424,2.5714,1.2311,0.00245327,0.000817758,0.00245327,0.000817758,0.00245327,0.000817758,0.00245327,0.000817758
43,109.604,0.47381,1.6364,1.12661,0.93088,0.57143,0.86667,0.78118,0.52424,2.5714,1.2311,0.00244927,0.000816425,0.00244927,0.000816425,0.00244927,0.000816425,0.00244927,0.000816425
44,111.935,0.41439,1.4551,1.08994,0.82906,0.57143,0.885,0.80288,0.54786,2.45588,1.22661,0.00244231,0.000814102,0.00244231,0.000814102,0.00244231,0.000814102,0.00244231,0.000814102
45,114.098,0.40069,1.48135,1.04435,0.82906,0.57143,0.885,0.80288,0.54786,2.45588,1.22661,0.00243237,0.00081079,0.00243237,0.00081079,0.00243237,0.00081079,0.00243237,0.00081079
46,116.594,0.47179,1.53608,1.10144,0.81838,0.57143,0.885,0.81216,0.51517,2.34952,1.24156,0.00241946,0.000806487,0.00241946,0.000806487,0.00241946,0.000806487,0.00241946,0.000806487
47,118.634,0.45361,1.49355,1.08313,0.81838,0.57143,0.885,0.81216,0.51517,2.34952,1.24156,0.00240359,0.000801195,0.00240359,0.000801195,0.00240359,0.000801195,0.00240359,0.000801195
48,121.01,0.41022,1.45732,1.07953,0.94762,0.71429,0.89625,0.80952,0.48046,2.26235,1.20109,0.00238474,0.000794913,0.00238474,0.000794913,0.00238474,0.000794913,0.00238474,0.000794913
49,123.173,0.36745,1.29955,1.02788,0.94762,0.71429,0.89625,0.80952,0.48046,2.26235,1.20109,0.00236292,0.00078764,0.00236292,0.00078764,0.00236292,0.00078764,0.00236292,0.00078764
50,125.534,0.37829,1.30987,1.03697,1,0.75767,0.92033,0.83245,0.45128,2.19206,1.17036,0.00233813,0.000779377,0.00233813,0.000779377,0.00233813,0.000779377,0.00233813,0.000779377
51,127.59,0.45605,1.36962,1.12378,1,0.75767,0.92033,0.83245,0.45128,2.19206,1.17036,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
52,129.908,0.41867,1.38807,1.04374,1,0.71051,0.925,0.85021,0.43098,2.13297,1.19256,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775
